Column1;cc_iv;homicides
0;Afghanistan;Afghanistan
1;Afghanistan;Afghanistan
2;Afghanistan;Afghanistan
3;Afghanistan;Afghanistan
4;Albania;Albania
5;Algeria;Algeria
6;Algeria;Algeria
7;Algeria;Algeria
8;Angola;Angola
9;Angola;Angola
10;Angola;Angola
11;Angola;Angola
12;Angola;Angola
13;Angola;Angola
14;Angola;Angola
15;Angola;Angola
16;Angola;Angola
17;Argentina;Argentina
18;Armenia;Armenia
19;Armenia;Armenia
20;Armenia;Armenia
21;Armenia;Armenia
22;Azerbaijan;Azerbaijan
23;Azerbaijan;Azerbaijan
24;Azerbaijan;Azerbaijan
25;Azerbaijan;Azerbaijan
26;Azerbaijan;Azerbaijan
27;Azerbaijan;Azerbaijan
28;Azerbaijan;Azerbaijan
29;Azerbaijan;Azerbaijan
30;Bangladesh;Bangladesh
31;Bangladesh;Bangladesh
32;Bangladesh;Bangladesh
33;Bangladesh;Bangladesh
34;Bhutan;Bhutan
35;Bosnia-Herzegovina;Bosnia and Herzegovina
36;Bosnia-Herzegovina;Bosnia and Herzegovina
37;Bosnia-Herzegovina;Bosnia and Herzegovina
38;Bosnia-Herzegovina;Bosnia and Herzegovina
39;Bosnia-Herzegovina;Bosnia and Herzegovina
40;Burundi;Burundi
41;Burundi;Burundi
42;Burundi;Burundi
43;Burundi;Burundi
44;Burundi;Burundi
45;Cambodia (Kampuchea);Cambodia
46;Cambodia (Kampuchea);Cambodia
47;Cameroon;Cameroon
48;Cameroon;Cameroon
49;Cameroon;Cameroon
50;Cameroon;Cameroon
51;Cameroon;Cameroon
52;Central African Republic;Central African Republic
53;Central African Republic;Central African Republic
54;Central African Republic;Central African Republic
55;Central African Republic;Central African Republic
56;Central African Republic;Central African Republic
57;Central African Republic;Central African Republic
58;Chad;Chad
59;Chad;Chad
60;Chad;Chad
61;Chad;Chad
62;Chad;Chad
63;Chad;Chad
64;Chad;Chad
65;China;China
66;China;China
67;China;China
68;Colombia;Colombia
69;Comoros;Comoros
70;Comoros;Comoros
71;Congo;Congo, Rep.
72;Congo;Congo, Rep.
73;Congo;Congo, Rep.
74;Congo;Congo, Rep.
75;Congo;Congo, Rep.
76;Croatia;Croatia
77;Croatia;Croatia
78;Croatia;Croatia
79;Croatia;Croatia
80;DR Congo (Zaire);Congo, Dem. Rep.
81;DR Congo (Zaire);Congo, Dem. Rep.
82;DR Congo (Zaire);Congo, Dem. Rep.
83;DR Congo (Zaire);Congo, Dem. Rep.
84;DR Congo (Zaire);Congo, Dem. Rep.
85;DR Congo (Zaire);Congo, Dem. Rep.
86;DR Congo (Zaire);Congo, Dem. Rep.
87;DR Congo (Zaire);Congo, Dem. Rep.
88;DR Congo (Zaire);Congo, Dem. Rep.
89;DR Congo (Zaire);Congo, Dem. Rep.
90;DR Congo (Zaire);Congo, Dem. Rep.
91;DR Congo (Zaire);Congo, Dem. Rep.
92;DR Congo (Zaire);Congo, Dem. Rep.
93;DR Congo (Zaire);Congo, Dem. Rep.
94;DR Congo (Zaire);Congo, Dem. Rep.
95;DR Congo (Zaire);Congo, Dem. Rep.
96;DR Congo (Zaire);Congo, Dem. Rep.
97;DR Congo (Zaire);Congo, Dem. Rep.
98;Djibouti;Djibouti
99;Djibouti;Djibouti
100;Djibouti;Djibouti
101;Djibouti;Djibouti
102;Ecuador;Ecuador
103;Ecuador;Ecuador
104;Egypt;Egypt, Arab Rep.
