,country,conflict_id,year,best,start_date2,ep_end,ep_end_date,has_ended,start_year,end_year,duration
0,Afghanistan,395,1993,350,1992-05-10,0,1998-11-16,1,1992,1998,7
1,Tajikistan,395,1993,1045,1992-05-10,0,1998-11-16,1,1992,1998,7
2,Afghanistan,395,1995,0,1992-05-10,0,1998-11-16,1,1992,1998,7
3,Tajikistan,395,1995,368,1992-05-10,0,1998-11-16,1,1992,1998,7
4,Afghanistan,418,2001,1330,2001-09-11,0,2017-12-04,1,2001,2017,17
5,Pakistan,418,2001,20,2001-09-11,0,2017-12-04,1,2001,2017,17
6,United States of America,418,2001,233,2001-09-11,0,2017-12-04,1,2001,2017,17
7,Afghanistan,418,2002,860,2001-09-11,0,2017-12-04,1,2001,2017,17
8,Pakistan,418,2002,18,2001-09-11,0,2017-12-04,1,2001,2017,17
9,Afghanistan,418,2003,27,2001-09-11,0,2017-12-04,1,2001,2017,17
10,Pakistan,418,2003,27,2001-09-11,0,2017-12-04,1,2001,2017,17
11,Turkey,418,2003,11,2001-09-11,0,2017-12-04,1,2001,2017,17
12,Afghanistan,418,2004,10,2001-09-11,0,2017-12-04,1,2001,2017,17
13,Pakistan,418,2004,310,2001-09-11,0,2017-12-04,1,2001,2017,17
14,Saudi Arabia,418,2004,58,2001-09-11,0,2017-12-04,1,2001,2017,17
15,Afghanistan,418,2005,3,2001-09-11,0,2017-12-04,1,2001,2017,17
16,Pakistan,418,2005,74,2001-09-11,0,2017-12-04,1,2001,2017,17
17,Saudi Arabia,418,2005,31,2001-09-11,0,2017-12-04,1,2001,2017,17
18,Afghanistan,418,2006,18,2001-09-11,0,2017-12-04,1,2001,2017,17
19,Pakistan,418,2006,217,2001-09-11,0,2017-12-04,1,2001,2017,17
20,Saudi Arabia,418,2006,11,2001-09-11,0,2017-12-04,1,2001,2017,17
21,Afghanistan,418,2007,68,2001-09-11,0,2017-12-04,1,2001,2017,17
22,Pakistan,418,2007,74,2001-09-11,0,2017-12-04,1,2001,2017,17
23,Saudi Arabia,418,2007,2,2001-09-11,0,2017-12-04,1,2001,2017,17
24,Somalia,418,2007,30,2001-09-11,0,2017-12-04,1,2001,2017,17
25,Afghanistan,418,2008,50,2001-09-11,0,2017-12-04,1,2001,2017,17
26,Pakistan,418,2008,189,2001-09-11,0,2017-12-04,1,2001,2017,17
27,Somalia,418,2008,30,2001-09-11,0,2017-12-04,1,2001,2017,17
28,Yemen (North Yemen),418,2008,21,2001-09-11,0,2017-12-04,1,2001,2017,17
29,Afghanistan,418,2009,14,2001-09-11,0,2017-12-04,1,2001,2017,17
30,Pakistan,418,2009,426,2001-09-11,0,2017-12-04,1,2001,2017,17
31,Somalia,418,2009,10,2001-09-11,0,2017-12-04,1,2001,2017,17
32,Afghanistan,418,2010,6,2001-09-11,0,2017-12-04,1,2001,2017,17
33,Pakistan,418,2010,307,2001-09-11,0,2017-12-04,1,2001,2017,17
34,Afghanistan,418,2011,22,2001-09-11,0,2017-12-04,1,2001,2017,17
35,Pakistan,418,2011,181,2001-09-11,0,2017-12-04,1,2001,2017,17
36,Somalia,418,2011,0,2001-09-11,0,2017-12-04,1,2001,2017,17
37,Afghanistan,418,2012,7,2001-09-11,0,2017-12-04,1,2001,2017,17
38,Pakistan,418,2012,211,2001-09-11,0,2017-12-04,1,2001,2017,17
39,Somalia,418,2012,7,2001-09-11,0,2017-12-04,1,2001,2017,17
40,Afghanistan,418,2013,20,2001-09-11,0,2017-12-04,1,2001,2017,17
41,Pakistan,418,2013,16,2001-09-11,0,2017-12-04,1,2001,2017,17
42,Somalia,418,2013,2,2001-09-11,0,2017-12-04,1,2001,2017,17
43,Afghanistan,418,2014,5,2001-09-11,0,2017-12-04,1,2001,2017,17
44,Pakistan,418,2014,21,2001-09-11,0,2017-12-04,1,2001,2017,17
45,Syria,418,2014,106,2001-09-11,0,2017-12-04,1,2001,2017,17
46,Afghanistan,418,2015,19,2001-09-11,0,2017-12-04,1,2001,2017,17
47,Pakistan,418,2015,33,2001-09-11,0,2017-12-04,1,2001,2017,17
48,Syria,418,2015,35,2001-09-11,0,2017-12-04,1,2001,2017,17
49,Afghanistan,418,2016,64,2001-09-11,0,2017-12-04,1,2001,2017,17
50,Pakistan,418,2016,53,2001-09-11,0,2017-12-04,1,2001,2017,17
51,Afghanistan,418,2017,53,2001-09-11,1,2017-12-04,1,2001,2017,17
52,Pakistan,418,2017,4,2001-09-11,1,2017-12-04,1,2001,2017,17
53,Syria,418,2017,54,2001-09-11,1,2017-12-04,1,2001,2017,17
54,Afghanistan,418,2019,37,2019-07-31,1,2019-09-07,1,2019,2019,1
55,Afghanistan,13692,2001,1397,2001-10-07,1,2001-11-13,1,2001,2001,1
56,Albania,412,1999,6,1998-03-06,1,1999-11-21,1,1998,1999,2
57,Serbia (Yugoslavia),412,1999,1398,1998-03-06,1,1999-11-21,1,1998,1999,2
58,Algeria,386,1991,34,1991-12-09,0,2018-11-19,1,1991,2018,28
59,Algeria,386,1992,257,1991-12-09,0,2018-11-19,1,1991,2018,28
60,Algeria,386,1993,800,1991-12-09,0,2018-11-19,1,1991,2018,28
61,Algeria,386,1994,1916,1991-12-09,0,2018-11-19,1,1991,2018,28
62,Algeria,386,1995,3008,1991-12-09,0,2018-11-19,1,1991,2018,28
63,Algeria,386,1996,1084,1991-12-09,0,2018-11-19,1,1991,2018,28
64,Algeria,386,1997,1403,1991-12-09,0,2018-11-19,1,1991,2018,28
65,Algeria,386,1998,3029,1991-12-09,0,2018-11-19,1,1991,2018,28
66,Algeria,386,1999,1031,1991-12-09,0,2018-11-19,1,1991,2018,28
67,Algeria,386,2000,947,1991-12-09,0,2018-11-19,1,1991,2018,28
68,Algeria,386,2001,642,1991-12-09,0,2018-11-19,1,1991,2018,28
69,Algeria,386,2002,539,1991-12-09,0,2018-11-19,1,1991,2018,28
70,Algeria,386,2003,670,1991-12-09,0,2018-11-19,1,1991,2018,28
71,Algeria,386,2004,397,1991-12-09,0,2018-11-19,1,1991,2018,28
