,country,conflict_id,start_year,end_year,duration,best,avg_deaths,HR_before,HR_after,HR_rel_change,CV_global_homicides,CV_pop
4,Albania,412,1998,1999,2,6,3.0,13.934203285999999,5.5336330844,0.3971259045689224,,3108778.0
7,Algeria,13721,2015,2015,1,26,26.0,1.1219291236,1.324465069,1.180524724012967,"5,911968893",39728020.0
18,Armenia,388,1991,1994,4,152,38.0,5.030857812,3.2601200794,0.6480246910623679,,3283664.0
19,Armenia,388,2005,2005,1,1,1.0,2.7223516285,2.7874076569999997,1.0238969969268243,"6,293981484",2981262.0
20,Armenia,388,2012,2012,1,9,9.0,2.7469666185999997,2.5100327188,0.9137470771593308,"6,113175523",2884239.0
21,Armenia,388,2014,2017,4,13,3.25,2.4401936714000003,1.9722885636666667,0.808250831392049,"5,906905873",2944789.0
22,Azerbaijan,388,1991,1994,4,4728,1182.0,4.542468491,4.176353483,0.9194017506724846,,7596550.0
23,Azerbaijan,388,1997,1998,2,63,31.5,6.2273018294,2.75192268275,0.44191252618554183,,7913000.0
24,Azerbaijan,388,2005,2005,1,24,24.0,2.6676731950000003,2.2078167173333334,0.8276188858033389,"6,293981484",8391850.0
25,Azerbaijan,388,2008,2008,1,30,30.0,2.166378561,2.2806596475000003,1.052752131394454,"6,010090245",8763400.0
26,Azerbaijan,388,2012,2012,1,16,16.0,2.23259993625,2.1229165815999997,0.9508719171450705,"6,113175523",9295784.0
27,Azerbaijan,388,2014,2017,4,282,70.5,2.2806596475000003,1.9734806836666667,0.8653113522791289,"5,906905873",9854033.0
28,Azerbaijan,396,1993,1993,1,60,60.0,5.6475411079999995,4.8742719946,0.8630786215429882,,7494800.0
29,Azerbaijan,396,1995,1995,1,44,44.0,5.9482993506,3.593327174,0.6040931974342455,,7684850.0
32,Bangladesh,11350,2005,2006,2,119,59.5,2.7027549398,2.7597588348000004,1.0210910335082835,"6,178188546",140921154.0
33,Bangladesh,13674,2016,2017,2,88,44.0,2.7521301846000004,2.373328796,0.8623606576754086,"5,906905873",159685421.0
34,Bhutan,421,1996,1999,4,4,1.0,3.5231997799999997,2.4843920496,0.7051521925333454,,577886.0
35,Bosnia and Herzegovina,389,1992,1995,4,26455,6613.75,1.635516427,2.639172356,1.6136630072502476,,3829049.0
37,Bosnia and Herzegovina,390,1995,1995,1,40,40.0,1.635516427,2.639172356,1.6136630072502476,,3829049.0
38,Bosnia and Herzegovina,397,1993,1995,3,1036,345.3333333333333,1.635516427,2.639172356,1.6136630072502476,,3829049.0
43,Burundi,287,2014,2015,2,241,120.5,5.429154888499999,6.054537366,1.1151896548069906,"5,911968893",10160034.0
50,Cameroon,13638,2015,2016,2,361,180.5,3.483924409,1.388093415,0.39842810923628164,"5,947845376",23926549.0
65,China,439,2009,2009,1,2,2.0,1.4126118204,0.8305636248000001,0.5879630998449489,"6,066836418",1331260000.0
66,China,439,2014,2015,2,5,2.5,0.9019704371999999,0.566649714,0.6282353507716495,"5,911968893",1379860000.0
67,China,11349,2008,2008,1,36,36.0,1.5646788195999999,0.9019704371999999,0.576457242151832,"6,010090245",1324655000.0
76,Croatia,389,1992,1995,4,19,4.75,6.024476743999999,2.4758837862,0.4109707600192539,,4620030.0
77,Croatia,390,1992,1993,2,468,234.0,6.024476743999999,2.8546911666,0.4738488150764451,,4600463.0
78,Croatia,390,1995,1995,1,818,818.0,5.5873331798,2.4758837862,0.44312442206795777,,4620030.0
79,Croatia,397,1993,1995,3,8,2.6666666666666665,6.741939049,2.4758837862,0.36723615686902955,,4620030.0
103,Ecuador,403,1995,1995,1,11,11.0,9.4127601102,12.99084298,1.3801311016013955,,11455205.0
104,"Egypt, Arab Rep.",391,1993,1998,6,613,102.16666666666667,0.483729133,0.646746135,1.3370005874754705,,66200259.0
130,Georgia,380,1991,1993,3,275,91.66666666666667,4.990388881,7.226083512600001,1.4480000827414476,,4911100.0
131,Georgia,392,1992,1993,2,2177,1088.5,6.3943225990000006,7.226083512600001,1.1300780341814594,,4911100.0
132,Georgia,393,1992,1992,1,134,134.0,6.3943225990000006,9.5349986422,1.4911663424193151,,4873500.0
133,Georgia,393,2004,2004,1,27,27.0,5.98280051225,7.3294753326,1.2250910451706747,"6,504204151",3927340.0
134,Georgia,393,2008,2008,1,621,621.0,8.0632406765,4.829849939000001,0.5989961273358007,"6,010090245",3848449.0
146,India,218,1994,1994,1,6,6.0,5.2853500425,4.7526159436,0.8992055219396569,,945601828.0
147,India,218,1996,2003,8,1450,181.25,5.1830775074,3.913525245,0.755058213853173,"6,729341778",1111523146.0
149,India,227,1991,1994,4,650,162.5,5.057039129,4.7526159436,0.9398020901886521,,945601828.0
150,India,251,1992,1997,6,371,61.833333333333336,5.253497713,4.499614836400001,0.8564988665104994,,1000900028.0
151,India,251,2000,2000,1,30,30.0,4.7526159436,4.1069368802,0.8641423857803009,"6,854248582",1056575548.0
153,India,335,1992,1992,1,29,29.0,5.253497713,4.9027999090000005,0.9332448926108442,,909307018.0
154,India,335,1997,1997,1,72,72.0,5.0481688936,4.499614836400001,0.8913360331712658,,1000900028.0
