conflict_id,country,start_year,end_year,duration,deaths,avg_deaths,HR_before,HR_after,HR_rel_change,CV_global_homicides,CV_pop
205,"Iran, Islamic Rep.",1990,1990,1,31.0,3.4339872044851463,,,,,17.84738045893517
205,"Iran, Islamic Rep.",1993,1993,1,55.0,4.007333185232471,,,,,17.90524050587934
205,"Iran, Islamic Rep.",1996,1996,1,13.5,2.6026896854443837,,,,,17.947390423449388
205,"Iran, Islamic Rep.",2016,2016,1,15.0,2.70805020110221,2.5812707185,2.194371056,0.8501127139718104,5.947845376,18.192072174090598
205,"Iran, Islamic Rep.",2018,2018,1,22.0,3.091042453358316,2.5812707185,,,5.774733653,18.219790295457397
205,Iraq,1993,1993,1,55.0,4.007333185232471,6.947431332666667,6.484351474,0.9333451693881053,,16.75758289674003
205,Iraq,1996,1996,1,13.5,2.6026896854443837,6.6298800057500005,,,,16.84964941528121
205,Iraq,2016,2016,1,15.0,2.70805020110221,9.033394991666666,,,5.947845376,17.415849247990298
205,Iraq,2018,2018,1,22.0,3.091042453358316,10.07025321,,,5.774733653,17.464442739044213
209,Philippines,1969,1995,27,4135.0,5.0314057414534625,,7.581291689333334,,,18.06091656179853
209,Philippines,1997,1997,1,32.0,3.4657359027997265,11.286165279666667,7.6285431377999995,0.6759198495474545,,18.106392909673385
218,India,1989,1992,4,113.5,3.3455084758015667,,4.9027999090000005,,,20.628193348691212
218,India,1994,1994,1,21.0,3.044522437723423,5.2853500425,4.7526159436,0.8992055219396569,,20.667332137778367
218,India,1996,2003,8,968.0,4.795790545596741,5.1830775074,3.913525245,0.755058213853173,6.729341778,20.828997115263267
218,India,2013,2020,8,424.5,3.971470464071566,3.7839070714000003,,,5.605310066,21.04535251364671
218,Pakistan,1989,1992,4,63.5,2.7647455447787554,,7.1075198754999995,,,18.550929105824167
218,Pakistan,1994,1994,1,21.0,3.044522437723423,7.62578613,7.1363354185,0.9358163600242484,,18.606020773902454
218,Pakistan,1996,2003,8,968.0,4.795790545596741,,6.336142996,,6.729341778,18.84655856119279
218,Pakistan,2013,2020,8,424.5,3.971470464071566,7.2891842356,,,5.605310066,19.213185950721147
220,Paraguay,1989,1989,1,150.0,5.0106352940962555,,,,,15.2295163849822
221,Myanmar,1994,1995,2,135.0,4.212127597878484,4.949777899,2.228182211,0.45015801849415465,,17.597461278294066
221,Myanmar,1997,1998,2,77.0,3.6506582412937387,3.67412594,1.86524843175,0.5076713379482033,,17.63566429685021
221,Myanmar,2000,2011,12,974.0,4.396504653854535,3.67412594,2.3956923606,0.6520441595423373,6.083969712,17.747152095312714
221,Myanmar,2013,2013,1,41.0,3.713572066704308,1.9556972714,2.2659629503333334,1.15864708892866,6.032025006,17.763913013207894
221,Thailand,2000,2011,12,152.0,2.538973871058276,7.9520052649999995,,,6.083969712,18.027910400262364
222,Myanmar,1990,1992,3,75.0,3.2188758248682006,,3.67412594,,,17.562698683562555
222,Myanmar,1994,1994,1,25.0,3.2188758248682006,4.949777899,3.67412594,0.7422809699688305,,17.58558792147999
222,Myanmar,2013,2015,3,172.0,4.048882188145344,1.9556972714,1.1338204239999998,0.5797525213032313,5.911968893,17.77976017810103
222,Myanmar,2017,2019,3,141.0,3.8501476017100584,2.3956923606,0.009189522,0.0038358522785031084,5.564134104,17.805335399109847
223,Bangladesh,2016,2020,5,80.5,2.7788192719904172,2.7521301846000004,,,5.605310066,18.91957173041068
223,Myanmar,1991,1991,1,25.0,3.2188758248682006,4.949777899,3.67412594,0.7422809699688305,,17.550562276345513
223,Myanmar,1994,1994,1,109.0,4.6913478822291435,4.949777899,3.67412594,0.7422809699688305,,17.58558792147999
223,Myanmar,2016,2020,5,1066.5,5.362699625477305,2.3578037576,,,5.605310066,17.812054732386205
224,Myanmar,1990,1990,1,112.0,4.718498871295094,,3.67412594,,,17.537224704862272
224,Myanmar,1996,1996,1,80.0,4.382026634673881,3.67412594,2.083913966,0.5671863186050721,,17.609925080000902
227,India,1991,1994,4,650.0,5.090678001769792,5.057039129,4.7526159436,0.9398020901886521,,20.667332137778367
231,Myanmar,2011,2019,9,1391.0,5.040553614587224,1.6003813411999999,0.009189522,0.00574208269205982,5.564134104,17.805335399109847
233,Guatemala,1965,1995,31,426.0,2.620452141784224,,29.736709965999996,,,16.146370716941597
234,Israel,2000,2012,13,3692.5,5.649109656943998,2.4030700946,1.4340472048,0.5967562943846224,6.113175523,15.883701548871256
234,Israel,2014,2014,1,2370.0,7.7706452341291765,1.866156185,1.400899807,0.750687331671545,6.032096376,15.921557515805082
234,Israel,2018,2019,2,78.0,3.6635616461296463,1.4340472048,,,5.564134104,16.018717206978042
234,Lebanon,2000,2012,13,164.0,2.5349170703626616,,3.6935719809999994,,6.113175523,15.527075363529622
234,Syrian Arab Republic,2000,2012,13,189.5,2.679439667060944,2.0550459919999997,,,6.113175523,16.832948597676683
234,Syrian Arab Republic,2018,2019,2,25.0,2.5257286443082556,,,,5.564134104,16.6528408276054
251,India,1992,1997,6,371.0,4.1244425933793805,5.253497713,4.499614836400001,0.8564988665104994,,20.72416546016407
251,India,2000,2000,1,30.0,3.4011973816621555,4.7526159436,4.1069368802,0.8641423857803009,6.854248582,20.778298900272627
253,Myanmar,1992,1992,1,404.0,6.0014148779611505,4.949777899,3.67412594,0.7422809699688305,,17.562698683562555
253,Myanmar,1996,1996,1,124.0,4.820281565605037,3.67412594,2.083913966,0.5671863186050721,,17.609925080000902
253,Myanmar,2005,2005,1,17.5,2.8622008809294686,1.798183639,1.6003813411999999,0.8899988335396037,6.293981484,17.706308517338165
253,Thailand,2005,2005,1,17.5,2.8622008809294686,7.9386936422000005,6.1543772198,0.775238029980771,6.293981484,17.996280324021196
259,Iraq,1991,1996,6,993.0,5.1089711948171175,6.705278277,,,,16.84964941528121
260,Lebanon,1989,1990,2,1411.0,6.558906771292869,,,,,14.846212246421395
262,Lao PDR,1989,1990,2,279.0,4.93806460126142,,,,,15.264420733630493
264,Myanmar,1993,2002,10,1276.5,4.849292143687493,4.949777899,1.5166260056,0.30640283999538703,6.906000623,17.680487300742424
264,Myanmar,2005,2011,7,393.0,4.027899462813948,1.798183639,2.3956923606,1.3322845946547954,6.083969712,17.747152095312714
264,Myanmar,2013,2013,1,83.0,4.418840607796598,1.9556972714,2.2659629503333334,1.15864708892866,6.032025006,17.763913013207894
264,Myanmar,2015,2015,1,77.0,4.343805421853684,2.2370477533999997,1.1338204239999998,0.5068378277918973,5.911968893,17.77976017810103
264,Thailand,1993,2002,10,150.5,2.711377991194885,9.838479113,7.5423137026000004,0.7666137840994165,6.906000623,17.975472637123556
265,"Congo, Dem. Rep.",2013,2014,2,154.0,4.343805421853684,,,,6.032096376,18.11642806758535
265,"Congo, Dem. Rep.",2020,2020,1,54.0,3.9889840465642745,,,,5.605310066,18.31043502621331
267,Ethiopia,1976,1991,16,41906.0,7.870595571509272,,,,,17.719702500503683
269,Nepal,1996,2006,11,9915.0,6.803908768155526,,3.0102915777999995,,6.178188546,17.076168696898275
271,"Iran, Islamic Rep.",1995,1996,2,178.0,4.48863636973214,,,,,17.947390423449388
271,Iraq,1973,1992,20,1417.0,4.260564966136689,,6.1912521510000005,,,16.728010124536247
271,Iraq,1995,1996,2,440.0,5.393627546352362,6.6449596600000005,,,,16.84964941528121
274,India,2020,2020,1,25.0,3.2188758248682006,3.127678628,,,5.605310066,21.04535251364671
277,"Venezuela, RB",1992,1992,1,144.0,4.969813299576001,12.52574598,20.711095916,1.6534820320537909,,16.838745832727813
283,"Congo, Dem. Rep.",1996,2001,6,13738.0,7.736161525545771,,,,6.943723418,17.695599743427756
283,"Congo, Dem. Rep.",2005,2008,4,1127.0,5.641020152919886,,,,6.010090245,17.916684993412403
283,"Congo, Dem. Rep.",2011,2014,4,1184.5,5.690781662478949,,,,6.032096376,18.11642806758535
283,Rwanda,2011,2014,4,1057.5,5.577368549800543,2.70695358425,2.577168608,0.9520549679886888,6.032096376,16.22097971273394
283,Uganda,2005,2008,4,91.0,3.1245651453969594,,10.7637969484,,6.010090245,17.230996503489894
287,Burundi,1991,1992,2,333.0,5.1149953094204985,,,,,15.553441768109057
287,Burundi,1994,2006,13,7498.0,6.35744223983432,,,,6.178188546,15.84469116692467
287,Burundi,2008,2008,1,201.0,5.303304908059076,,5.429154888499999,,6.010090245,15.910592153872718
287,Burundi,2014,2015,2,241.0,4.791649752930709,5.429154888499999,6.054537366,1.1151896548069906,5.911968893,16.133972346565702
287,"Congo, Dem. Rep.",1994,2006,13,557.0,3.7576158824657475,,,,6.178188546,17.851131588069904
288,Chad,1989,1994,6,2076.5,5.846679593842754,,,,,15.729643547470497
288,Chad,1997,2003,7,2071.0,5.689876712340271,,,,6.729341778,16.053441176431747
288,Chad,2005,2010,6,2562.0,6.056784013228625,,,,6.04961649,16.296420397804603
288,Chad,2018,2018,1,42.0,3.7376696182833684,,,,5.774733653,16.55491258071927
288,Sudan,1989,1994,6,833.5,4.933874232962793,,,,,16.965613415736208
288,Sudan,2005,2010,6,21.0,1.252762968495368,,,,6.04961649,17.35777378517344
291,Indonesia,2018,2018,1,25.0,3.2188758248682006,,,,5.774733653,19.405267487496396
292,Peru,1982,1999,18,6476.0,5.885486556901361,,,,,17.076613917118767
292,Peru,2007,2010,4,150.0,3.624340932976365,,6.6459185178,,6.04961649,17.18376041548035
294,Cambodia,2011,2011,1,14.5,2.6741486494265287,2.580089665,,,6.083969712,16.492511755693243
294,Thailand,2011,2011,1,14.5,2.6741486494265287,6.1543772198,,,6.083969712,18.027910400262364
297,Nigeria,2009,2009,1,405.0,6.003887067106539,,,,6.066836418,18.854570930974432
