,conflictep_id,conflictepisode,type_of_conflict2,dyadcount,confterm,ependdate,ependprec,outcome,recur,version,conflict_id,year,location,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,intensity_level,type_of_conflict,start_date,start_prec,start_date2,start_prec2,gwno_loc,region
0,20001,1,3,1,1,21/07/1946,1.0,4.0,0,3,200,1946,Bolivia,Government of Bolivia,23,,Popular Revolutionary Movement,719,,2,,2,3,18/07/1946,1,21/07/1946,2,145,5
1,20002,2,3,1,1,12/04/1952,1.0,4.0,1,3,200,1952,Bolivia,Government of Bolivia,23,,MNR,720,,2,,1,3,18/07/1946,1,09/04/1952,1,145,5
2,20003,3,3,1,1,16/10/1967,1.0,3.0,1,3,200,1967,Bolivia,Government of Bolivia,23,,ELN,721,,2,,1,3,18/07/1946,1,31/03/1967,3,145,5
3,20101,1,1,1,0,,,,0,3,201,1946,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,31/08/1946,3,31/08/1946,3,811,3
4,20101,1,1,1,0,,,,0,3,201,1947,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,31/08/1946,3,31/08/1946,3,811,3
5,20101,1,1,1,0,,,,0,3,201,1948,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,31/08/1946,3,31/08/1946,3,811,3
6,20101,1,1,1,0,,,,0,3,201,1949,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,31/08/1946,3,31/08/1946,3,811,3
7,20101,1,1,1,0,,,,0,3,201,1950,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,31/08/1946,3,31/08/1946,3,811,3
8,20101,1,1,1,0,,,,0,3,201,1951,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,31/08/1946,3,31/08/1946,3,811,3
9,20101,1,1,1,0,,,,0,3,201,1952,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,31/08/1946,3,31/08/1946,3,811,3
10,20101,1,1,1,1,09/11/1953,1.0,1.0,0,3,201,1953,Cambodia (Kampuchea),Government of France,33,,Khmer Issarak,160,,1,Cambodia,1,1,31/08/1946,3,31/08/1946,3,811,3
11,20201,1,3,1,0,,,,0,3,202,1946,China,Government of China,135,,PLA,161,,2,,2,3,31/12/1946,7,31/12/1946,7,710,3
12,20201,1,3,1,0,,,,0,3,202,1947,China,Government of China,135,,PLA,161,,2,,2,3,31/12/1946,7,31/12/1946,7,710,3
13,20201,1,3,1,0,,,,0,3,202,1948,China,Government of China,135,,PLA,161,,2,,2,3,31/12/1946,7,31/12/1946,7,710,3
14,20201,1,3,1,1,08/12/1949,1.0,4.0,0,3,202,1949,China,Government of China,135,,PLA,161,,2,,2,3,31/12/1946,7,31/12/1946,7,710,3
15,20301,1,3,1,0,,,,0,3,203,1946,Greece,Government of Greece,52,,DSE,162,,2,,2,3,31/03/1946,4,31/03/1946,4,350,1
16,20301,1,3,1,0,,,,0,3,203,1947,Greece,Government of Greece,52,,DSE,162,,2,,2,3,31/03/1946,4,31/03/1946,4,350,1
17,20301,1,3,1,0,,,,0,3,203,1948,Greece,Government of Greece,52,,DSE,162,,2,,2,3,31/03/1946,4,31/03/1946,4,350,1
18,20301,1,3,1,1,16/10/1949,1.0,3.0,0,3,203,1949,Greece,Government of Greece,52,,DSE,162,,2,,2,3,31/03/1946,4,31/03/1946,4,350,1
19,20401,1,1,1,0,,,,0,3,204,1946,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,13/10/1945,2,31/12/1946,5,850,3
20,20401,1,1,1,0,,,,0,3,204,1947,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,13/10/1945,2,31/12/1946,5,850,3
21,20401,1,1,1,0,,,,0,3,204,1948,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,13/10/1945,2,31/12/1946,5,850,3
22,20401,1,1,1,1,15/08/1949,1.0,1.0,0,3,204,1949,Indonesia,Government of Netherlands,30,,Indonesian People's Army,163,,1,Indonesia,1,1,13/10/1945,2,31/12/1946,5,850,3
23,20501,1,3,1,1,16/12/1946,1.0,3.0,0,3,205,1946,Iran,Government of Iran,114,,KDPI,164,Government of Russia (Soviet Union),1,Kurdistan,1,4,31/05/1946,3,31/05/1946,3,630,2
24,20502,2,3,1,0,,,,1,3,205,1966,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1966,5,630,2
25,20502,2,3,1,0,,,,0,3,205,1967,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1966,5,630,2
26,20502,2,3,1,1,31/12/1968,5.0,5.0,0,3,205,1968,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1966,5,630,2
27,20503,3,3,1,0,,,,1,3,205,1979,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2,3,31/05/1946,3,31/12/1979,5,630,2
28,20503,3,3,1,0,,,,0,3,205,1980,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2,3,31/05/1946,3,31/12/1979,5,630,2
29,20503,3,3,1,0,,,,0,3,205,1981,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1979,5,630,2
30,20503,3,3,1,0,,,,0,3,205,1982,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2,3,31/05/1946,3,31/12/1979,5,630,2
31,20503,3,3,1,0,,,,0,3,205,1983,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1979,5,630,2
32,20503,3,3,1,0,,,,0,3,205,1984,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1979,5,630,2
33,20503,3,3,1,0,,,,0,3,205,1985,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1979,5,630,2
34,20503,3,3,1,0,,,,0,3,205,1986,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1979,5,630,2
35,20503,3,3,1,0,,,,0,3,205,1987,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1979,5,630,2
36,20503,3,3,1,1,31/12/1988,5.0,5.0,0,3,205,1988,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,31/12/1979,5,630,2
37,20504,4,3,1,1,17/08/1990,2.0,5.0,1,3,205,1990,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,10/07/1990,2,630,2
38,20505,5,3,1,1,11/11/1993,2.0,5.0,1,3,205,1993,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,12/09/1993,2,630,2
39,20506,6,3,1,1,28/07/1996,2.0,5.0,1,3,205,1996,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,28/07/1996,2,630,2
40,20507,7,3,1,1,20/12/2016,2.0,5.0,1,3,205,2016,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,07/09/2016,2,630,2
41,20508,8,3,1,1,12/10/2018,2.0,5.0,1,3,205,2018,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1,3,31/05/1946,3,11/08/2018,1,630,2
42,20601,1,3,1,1,16/12/1946,1.0,3.0,0,3,206,1946,Iran,Government of Iran,114,,Republic of Azerbaijan,165,Government of Russia (Soviet Union),1,Azerbaijan,1,4,19/11/1945,1,16/12/1946,5,630,2
43,20701,1,1,1,1,31/12/1946,5.0,5.0,0,3,207,1946,Israel,Government of United Kingdom,28,,IZL [Etzel],166,,1,Israel,1,1,31/03/1939,4,31/12/1946,5,666,2
44,20801,1,1,1,0,,,,0,3,208,1946,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,31/03/1946,4,31/03/1946,4,812,3
45,20801,1,1,1,0,,,,0,3,208,1947,Laos,Government of France,33,,Lao Issara,167,,1,Laos,1,1,31/03/1946,4,31/03/1946,4,812,3
